wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/20/2018 08:58:53,03/20/2018 08:58:50,0.4583644,0.000127323444444444,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 13 at Source System.Activities",Error,95056e2702c9ff792ab45327435679ab,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/20/2018 08:58:54,03/20/2018 08:58:50,0.253998,7.0555E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 72 at Source System.Activities",Error,a610a0b7f99473b7bfdc9e4dc182ff32,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/20/2018 08:58:54,03/20/2018 08:58:50,0.2239994,6.22220555555556E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 71 at Source System.Activities",Error,a610a0b7f99473b7bfdc9e4dc182ff32,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/20/2018 08:58:55,03/20/2018 08:58:50,0.2160018,6.00005E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,d35c14bc7bee92cf79237f840bbb92f5,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,Exception,03/20/2018 08:58:55,03/20/2018 08:58:50,0.2530039,7.02788611111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception Simulated exception, in place of a real one! at Source System.Activities",Warn,d35c14bc7bee92cf79237f840bbb92f5,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/20/2018 08:59:03,03/20/2018 08:58:50,3.6458391,0.00101273308333333,"Work Block Input row UiDemo, simulate Ex successful",Info,b12e3fb3b95edd2055fd87acfff89dd9,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/20/2018 08:59:07,03/20/2018 08:58:50,3.4889617,0.000969434388888889,"Work Block Input row UiDemo, simulate Ex successful",Info,13923cb74e392bef4d27fc809a260798,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/20/2018 08:59:10,03/20/2018 08:58:50,0.2349965,6.55551944444444E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 2 at Source System.Activities",Error,6bad2a114130fde5dc132fa40a68e4e4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/20/2018 08:59:11,03/20/2018 08:58:50,3.5088736,0.000974965194444444,"Work Block Input row UiDemo, simulate Ex successful",Info,31d11cd0c942a3d68d13afb72fd05ede,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/20/2018 08:59:14,03/20/2018 08:58:50,3.6248164,0.00100689344444444,"Work Block Input row UiDemo, simulate Ex successful",Info,fe6f16f5a23598e661b3a68949b3aee5,False,No info
